,price,bedrooms,bathrooms,has_basement,sqft_living,sqft_lot,liv/lot,view,age,age_decade,condition,grade,reno?,reno_age,lat,long,zipcode,zipcode_mean_price,zipcode_median_price,zipcode_mode_price,zip_rank_price,zipcode_mean_lot,zipcode_mean_liv,pop_den_by_zip
0,221900.0,3,1.0,0,1180,5650,0.2088495575221239,0.0,60,6,3,7,0,0.0,47.5112,-122.257,98178,305357.85,276277.0,315000.0,1,8045.58,1722.62,4966
1,538000.0,3,2.25,1,2570,7242,0.3548743441038387,0.0,64,6,3,7,1,24.0,47.721000000000004,-122.319,98125,459287.85,425000.0,375000.0,2,7634.36,1735.34,6879
2,180000.0,2,1.0,0,770,10000,0.077,0.0,82,8,3,6,0,0.0,47.7379,-122.23299999999999,98028,458486.87,440000.0,400000.0,2,10776.84,2119.75,3606
3,604000.0,4,3.0,1,1960,5000,0.392,0.0,50,5,5,7,0,0.0,47.5208,-122.39299999999999,98136,534712.0,485000.0,400000.0,3,5732.0,1699.25,6425
4,510000.0,3,2.0,0,1680,8080,0.2079207920792079,0.0,28,2,3,8,0,0.0,47.6168,-122.045,98074,655631.94,638250.0,550000.0,4,11778.2,2602.99,2411
6,257500.0,3,2.25,0,1715,6819,0.2515031529549787,0.0,20,2,3,7,0,0.0,47.3097,-122.32700000000001,98003,292011.4,267000.0,225000.0,1,10019.66,1924.47,3800
7,291850.0,3,1.5,0,1060,9711,0.10915456698589229,0.0,52,5,3,7,0,0.0,47.4095,-122.315,98198,302835.44,265000.0,210000.0,1,10071.9,1746.92,4441
8,229500.0,3,1.0,1,1780,7470,0.23828647925033467,0.0,55,5,3,7,0,0.0,47.5123,-122.337,98146,359496.26,305000.0,210000.0,1,9020.24,1621.45,5573
9,323000.0,3,2.5,0,1890,6560,0.28810975609756095,0.0,12,1,3,7,0,0.0,47.3684,-122.031,98038,345204.02,335000.0,275000.0,2,8695.4,2089.72,469
10,662500.0,3,2.5,1,3560,9796,0.3634136382196815,0.0,50,5,3,8,0,0.0,47.6007,-122.145,98007,616434.41,553500.0,450000.0,3,10340.61,2183.79,5684
11,468000.0,2,1.0,1,1160,6000,0.19333333333333333,0.0,73,7,4,7,0,0.0,47.69,-122.292,98115,608002.49,564000.0,435000.0,3,5407.32,1811.57,7018
12,310000.0,3,1.0,0,1430,19901,0.07185568564393749,0.0,88,8,4,7,0,0.0,47.7558,-122.229,98028,458486.87,440000.0,400000.0,2,10776.84,2119.75,3606
13,400000.0,3,1.75,0,1370,9680,0.1415289256198347,0.0,38,3,4,7,0,0.0,47.6127,-122.045,98074,655631.94,638250.0,550000.0,4,11778.2,2602.99,2411
