zipcode,pop_density
98178,4966
98125,6879
98028,3606
98136,6425
98074,2411
98053,662
98003,3800
98198,4441
98146,5573
98038,469
98007,5684
98115,7018
98107,9602
98126,6732
98019,141
98103,9905
98002,4423
98133,6279
98040,3591
98092,892
98030,4741
98119,8638
98112,6667
98052,2908
98027,469
98117,7953
98058,2215
98001,1717
98056,4323
98166,3580
98023,4604
98070,288
98148,3194
98105,10643
98042,1537
98008,4437
98059,1725
98122,13594
98144,7895
98004,3977
98005,2361
98034,4428
98075,2185
98116,7523
98010,334
98118,6841
98199,4714
98032,2024
98045,41
98102,15829
98077,785
98108,2989
98168,3794
98177,3341
98065,171
98029,2719
98006,3402
98109,10361
98022,52
98033,3696
98155,4330
98024,236
98011,3569
98031,4877
98106,4161
98072,1231
98188,3062
98014,149
98055,4585
98039,2059
