zipcode,mean_price,median_price,mean_sqft_liv,mean_sqft_lot,mean_cond,mean_grade,mean_age,zip_rank_price,num_homes,pop_density
98001,273273.58,255500.0,1876.0,11496.59,3.34,7.26,33.86,1,343,1717
98002,234284.04,235000.0,1627.74,7517.63,3.74,6.69,47.23,1,197,4423
98003,292011.4,267000.0,1924.47,10019.66,3.37,7.53,37.94,1,273,3800
98004,950873.06,912500.0,2209.22,11328.53,3.56,7.92,50.38,5,203,3977
98005,768595.4,753000.0,2572.91,17365.04,3.71,8.36,45.99,4,159,2361
98006,763026.1,734000.0,2712.18,12407.05,3.68,8.61,37.04,4,450,3402
98007,616434.41,553500.0,2183.79,10340.61,3.62,7.96,43.81,3,138,5684
98008,581616.01,540200.0,2057.97,10030.9,3.68,7.57,49.29,3,274,4437
98010,379586.92,330000.0,1951.42,19688.19,3.6,7.09,40.35,1,77,334
98011,488742.38,470000.0,2255.07,9762.14,3.23,7.77,32.53,3,191,3569
98014,364895.47,340000.0,1720.08,18660.24,3.27,6.92,37.68,2,78,149
98019,407425.84,398000.0,2135.42,11871.64,3.08,7.5,22.07,2,163,141
98022,273155.95,264975.0,1742.45,12785.89,3.74,7.05,43.36,1,176,52
98023,284177.56,268000.0,1983.41,9809.44,3.39,7.58,35.82,1,487,4604
98024,396955.0,362250.0,1747.5,22133.61,3.34,6.95,54.3,2,43,236
98027,587551.59,566250.0,2398.57,14503.6,3.36,8.14,27.17,4,349,469
98028,458486.87,440000.0,2119.75,10776.84,3.3,7.61,36.76,2,277,3606
98029,594612.48,570500.0,2230.1,6416.24,3.14,8.35,17.44,4,313,2719
98030,294089.77,281000.0,1956.98,9210.88,3.29,7.4,29.75,1,249,4741
98031,295095.06,285000.0,1910.32,9468.32,3.5,7.36,32.82,1,265,4877
98032,250097.02,249000.0,1729.97,9792.51,3.64,7.13,49.6,1,122,2024
98033,707447.32,659000.0,2219.42,9818.57,3.52,7.89,37.7,4,397,3696
98034,485606.58,443000.0,1937.39,9040.35,3.38,7.45,38.78,3,531,4428
98038,345204.02,335000.0,2089.72,8695.4,3.18,7.55,17.76,2,529,469
98039,1145666.67,1200000.0,2238.67,12773.67,3.6,7.87,61.07,5,14,2059
98040,948361.13,905000.0,2699.47,12247.3,3.86,8.59,47.11,5,217,3591
98042,302863.74,286450.0,1963.3,11323.03,3.53,7.41,27.72,1,513,1537
98045,385749.5,372250.0,1840.36,16226.62,3.18,7.41,31.08,2,180,41
98052,637806.32,610000.0,2345.22,10489.92,3.32,8.18,29.55,4,564,2908
98053,626388.9,600000.0,2411.52,14869.49,3.05,8.06,15.39,4,333,662
98055,300024.22,292500.0,1776.27,7870.52,3.33,7.13,45.48,1,254,4585
98056,405816.41,378000.0,1998.23,8624.1,3.72,7.32,37.86,2,398,4323
98058,341664.88,330000.0,2006.16,11026.51,3.47,7.55,36.38,1,428,2215
98059,483233.17,429475.0,2384.58,11011.6,3.4,7.86,26.02,2,449,1725
98065,529194.82,506950.0,2602.71,7663.84,3.04,7.91,16.22,3,292,171
98070,449294.38,407185.0,1807.97,25500.96,3.84,7.13,52.7,2,69,288
98072,543459.98,495000.0,2315.65,20163.96,3.31,8.01,32.62,3,234,1231
98074,655631.94,638250.0,2602.99,11778.2,3.12,8.68,25.15,4,415,2411
98075,759694.5,735000.0,2998.8,14806.11,3.2,9.02,20.42,4,334,2185
98077,652523.07,632925.0,2742.81,31219.29,3.35,8.83,30.68,4,153,785
98092,313948.5,299997.0,2144.05,11646.76,3.31,7.85,24.22,1,304,892
98102,748116.65,682500.0,1891.24,3015.2,3.32,8.05,62.05,4,96,15829
98103,578441.15,550000.0,1638.48,3469.39,3.48,7.4,62.27,3,595,9905
98105,744828.15,660000.0,1961.75,4500.82,3.61,7.65,74.71,4,207,10643
98106,318981.34,314250.0,1483.36,5556.02,3.25,6.87,49.32,1,329,4161
98107,562928.82,529950.0,1558.64,3178.16,3.42,7.4,55.69,3,262,9602
98108,355678.52,342500.0,1704.62,5204.84,3.4,7.02,57.09,2,185,2989
98109,780484.75,710100.0,1905.51,3461.36,3.45,7.87,72.15,4,100,10361
98112,847094.83,785475.0,2106.13,4070.75,3.43,8.08,70.37,4,213,6667
98115,608002.49,564000.0,1811.57,5407.32,3.51,7.34,66.37,3,570,7018
98116,604844.74,559000.0,1830.22,4854.48,3.51,7.53,61.54,3,325,7523
98117,576834.81,544000.0,1692.04,4636.39,3.54,7.28,66.73,3,548,7953
98118,408602.81,366925.0,1672.28,5583.8,3.35,6.96,64.75,2,495,6841
98119,756418.27,710000.0,1859.61,3356.41,3.35,7.88,67.08,4,171,8638
98122,599650.75,558000.0,1735.14,3426.16,3.29,7.69,64.42,3,280,13594
98125,459287.85,425000.0,1735.34,7634.36,3.34,7.17,55.1,2,399,6879
98126,424734.6,395750.0,1543.6,5114.61,3.47,7.03,62.27,2,352,6732
98133,387011.59,375000.0,1614.76,7094.61,3.54,7.12,51.74,2,484,6279
98136,534712.0,485000.0,1699.25,5732.0,3.38,7.38,58.18,3,260,6425
98144,528153.49,449000.0,1798.73,3763.37,3.49,7.34,58.97,3,325,7895
98146,359496.26,305000.0,1621.45,9020.24,3.29,6.82,59.21,1,281,5573
98148,284908.6,278000.0,1610.53,8960.72,3.07,6.95,51.74,1,56,3194
98155,401674.23,371500.0,1751.5,10044.15,3.48,7.14,54.1,2,436,4330
98166,431499.54,387500.0,2005.81,12578.77,3.58,7.3,57.87,2,243,3580
98168,240328.37,235000.0,1468.62,11269.84,3.25,6.51,62.28,1,264,3794
98177,594476.85,527150.0,2170.96,10254.7,3.48,7.79,54.75,3,239,3341
98178,305357.85,276277.0,1722.62,8045.58,3.32,6.8,59.86,1,256,4966
98188,289078.35,264000.0,1802.77,10126.08,3.33,7.04,49.49,1,135,3062
98198,302835.44,265000.0,1746.92,10071.9,3.44,7.1,48.12,1,274,4441
98199,732288.96,672500.0,2072.72,5221.17,3.5,7.89,58.52,4,302,4714
